id;desc_ar;desc_en;time_frame;break_time;time_from;time_to;center_id;available_capacity
1;compress digital Yuan Renminbi;holistic;51401;52634;2020-03-05T01:52:40;2020-03-04T15:20:56;6960;8430
2;Rand Loti iterate;quantifying;57256;97148;2020-03-05T08:09:58;2020-03-04T16:01:47;87196;87308
3;Factors Arkansas;Unbranded Rubber Pizza encompassing Berkshire;31662;12606;2020-03-05T03:52:29;2020-03-04T19:04:01;45632;80257
4;recontextualize;back-end;79252;6576;2020-03-05T04:27:15;2020-03-04T10:24:21;25558;28458
5;Lao People's Democratic Republic;digital Mobility East Caribbean Dollar;74167;46733;2020-03-05T09:20:57;2020-03-04T13:50:50;65939;86813
6;Unbranded Concrete Chips;Rubber;369;95694;2020-03-04T15:17:12;2020-03-05T03:57:34;55661;83519
7;Cotton Tasty EXE;Buckinghamshire success Rustic Frozen Keyboard;25457;27587;2020-03-04T21:59:35;2020-03-04T21:50:55;73905;41980
8;Toys;Personal Loan Account USB viral;77303;89240;2020-03-04T12:40:54;2020-03-04T19:57:46;17540;87754
9;Forward Incredible Wooden Keyboard approach;synthesizing deliverables Bedfordshire;53113;53472;2020-03-04T21:30:16;2020-03-04T23:34:11;8619;60399
10;Gorgeous;Small Plastic Soap Malagasy Ariary payment;87908;60540;2020-03-05T02:19:41;2020-03-05T08:04:26;19946;190
