id;applicant_id;status;time_from;time_to;request_no
1;53024;83289;2020-03-05T07:05:29;2020-03-05T06:21:57;72287
2;39051;64460;2020-03-05T04:17:10;2020-03-05T02:52:29;81595
3;97554;57429;2020-03-05T02:29:03;2020-03-05T08:44:44;78608
4;52978;61061;2020-03-04T11:52:52;2020-03-05T08:59:19;98340
5;7004;21185;2020-03-05T06:16:33;2020-03-05T06:09:50;29980
6;7278;77252;2020-03-04T17:28:04;2020-03-05T09:27:02;1302
7;65508;66802;2020-03-05T02:35:17;2020-03-04T17:49:50;13682
8;93691;23866;2020-03-05T03:11:39;2020-03-04T12:00:04;65798
9;96038;35400;2020-03-04T15:12:35;2020-03-05T00:41:25;1940
10;8020;72;2020-03-04T14:54:49;2020-03-04T23:49:52;43222
