id;capacity;time_frame;break_time;day_start_time;day_end_time;desc_ar;desc_en;center_id;status
1;59183;79305;72726;2020-03-04T11:09:12;2020-03-04T13:28:00;Computer Extension Auto Loan Account;Buckinghamshire;63844;41993
2;2509;76538;6853;2020-03-04T21:23:56;2020-03-04T19:52:38;Cotton;Money Market Account program;34276;8525
3;36350;33269;72416;2020-03-04T13:49:40;2020-03-04T16:27:55;Bulgarian Lev;overriding;68946;60303
4;65596;15091;69236;2020-03-04T11:38:38;2020-03-05T01:42:07;Gorgeous Small mobile;e-commerce ubiquitous;33485;75315
5;25701;96830;77380;2020-03-04T20:25:24;2020-03-04T11:05:08;Malta East Caribbean Dollar Terrace;methodology;78483;28854
6;82610;68179;70713;2020-03-04T22:56:31;2020-03-04T22:30:05;United States of America Incredible Sleek;Interactions;68484;4623
7;35122;94941;51802;2020-03-05T02:33:21;2020-03-04T23:45:39;hacking;withdrawal microchip Frozen;89142;47851
8;36891;24662;16213;2020-03-04T23:37:52;2020-03-04T12:12:23;infrastructures Incredible Wooden Pants Metal;Branding wireless;57343;53966
9;29358;1452;17221;2020-03-04T21:50:22;2020-03-04T14:26:25;open-source Administrator;Fork synthesizing;81178;10543
10;1888;3347;61885;2020-03-04T23:00:39;2020-03-05T00:18:18;withdrawal Identity attitude;Shoes program;58925;87318
